Time(s)	Position(mm)
17.4526	46.311108
17.5148	46.305518
17.5771	46.298687
17.6400	46.293098
17.7026	46.286287
17.7651	46.280366
17.8284	46.273848
17.8909	46.267966
17.9540	46.261458
18.0162	46.255537
18.0796	46.248728
18.1422	46.242197
18.2042	46.236318
18.2667	46.229797
18.3279	46.223918
18.3894	46.217976
18.4510	46.211458
18.5138	46.205598
18.5759	46.199077
18.6376	46.193176
18.6992	46.186348
18.7626	46.180718
18.8242	46.173906
18.8865	46.168347
18.9528	46.161548
19.0126	46.154736
19.0746	46.149116
19.1375	46.143208
19.2000	46.136707
19.2636	46.130828
19.3256	46.124287
19.3884	46.118398
19.4499	46.111587
19.5121	46.106028
19.5746	46.099187
19.6363	46.093557
19.6973	46.086748
19.7598	46.080867
19.8224	46.074368
19.8849	46.068467
19.9482	46.061938
20.0100	46.055996
20.0730	46.049207
20.1356	46.043647
20.1971	46.036838
20.2598	46.031206
20.3225	46.024387
20.3845	46.017556
20.4462	46.011958
20.5100	46.006086
20.5728	45.999558
20.6347	45.993628
20.6969	45.987117
20.7594	45.981238
20.8219	45.974407
20.8837	45.968787
20.9449	45.961997
21.0078	45.956387
21.0704	45.949578
21.1337	45.943706
21.1961	45.937188
21.2585	45.931218
21.3225	45.924707
21.3848	45.917917
21.4473	45.912048
21.5082	45.905537
21.5706	45.899626
21.6326	45.893088
21.6946	45.887168
21.7573	45.881587
21.8182	45.874788
21.8807	45.868867
21.9438	45.862336
22.0063	45.856448
22.0666	45.849937
22.1271	45.844016
22.1905	45.838108
22.2539	45.831606
22.3165	45.824788
22.3788	45.819226
22.4414	45.812397
22.5036	45.806467
22.5661	45.799937
22.6298	45.794058
22.6919	45.787546
22.7545	45.781658
22.8162	45.774836
22.8787	45.769207
22.9407	45.762368
23.0090	45.756807
23.0671	45.750007
23.1287	45.743198
23.1917	45.737578
23.2541	45.731667
23.3157	45.725156
23.3785	45.719268
23.4406	45.712747
23.5032	45.706816
23.5649	45.700017
23.6282	45.694436
23.6924	45.687617
23.7550	45.681096
23.8166	45.675178
23.8787	45.669277
23.9417	45.662756
24.0047	45.655957
24.0664	45.650378
24.1288	45.644426
24.1893	45.637607
24.2530	45.632026
24.3147	45.625217
24.3769	45.618706
24.4390	45.612817
24.5015	45.605986
24.5631	45.600366
24.6240	45.594487
24.6859	45.587976
24.7486	45.582048
24.8114	45.575508
24.8745	45.569658
24.9366	45.562817
24.9982	45.557227
25.0603	45.550417
25.1236	45.544797
25.1859	45.537998
25.2477	45.532126
25.3103	45.525627
25.3725	45.519678
25.4359	45.513147
25.4979	45.507258
25.5612	45.500466
25.6210	45.494878
25.6835	45.488958
25.7460	45.482446
25.8086	45.475618
25.8708	45.470068
25.9332	45.463247
25.9964	45.457358
26.0593	45.450828
26.1217	45.444946
26.1830	45.438447
26.2443	45.432537
26.3066	45.426616
26.3689	45.420107
26.4302	45.413308
26.4926	45.407747
26.5559	45.401816
